2022-04-01 21:25:07 EPC: 0072190000000000000003DC, TID: E280110520005046D4DC0065
2022-04-01 21:25:08 EPC: 0072190000000000000003DC, TID: E280110520005046D4DC0065
2022-04-01 21:25:09 EPC: 0072190000000000000003DC, TID: E280110520005046D4DC0065
2022-04-01 21:25:10 EPC: 0072190000000000000003DC, TID: E280110520005046D4DC0065
2022-04-01 21:25:11 EPC: 0072190000000000000003DC, TID: E280110520005046D4DC0065
2022-04-01 21:25:12 EPC: 0072190000000000000003DC, TID: E280110520005046D4DC0065
2022-04-01 21:25:14 EPC: 0072190000000000000003DC, TID: E280110520005046D4DC0065
2022-04-01 21:25:28 EPC: 0072190000000000000003DC, TID: E280110520005046D4DC0065
2022-04-01 21:25:35 EPC: 0072190000000000000003B4, TID: E280110520005B86D3F20065
2022-04-01 21:25:43 EPC: 044145000000000000002624, TID: E280110C2000749BBB540A11
2022-04-01 21:25:44 EPC: 044145000000000000002624, TID: E280110C2000749BBB540A11
2022-04-01 21:25:45 EPC: 044145000000000000002624, TID: E280110C2000749BBB540A11
2022-04-01 21:25:47 EPC: 044145000000000000002624, TID: E280110C2000749BBB540A11
2022-04-01 21:25:57 EPC: 007219000000000000000BB6, TID: E2801105200050C5D3320065
2022-04-01 21:25:58 EPC: 007219000000000000000BB6, TID: E2801105200050C5D3320065
2022-04-01 21:25:59 EPC: 007219000000000000000BB6, TID: E2801105200050C5D3320065
2022-04-01 21:26:04 EPC: 044145000000000000002413, TID: E280110C2000770EEAE40A15
2022-04-01 21:26:05 EPC: 044145000000000000002413, TID: E280110C2000770EEAE40A15
2022-04-01 21:26:16 EPC: 00721900000000000000054C, TID: E28011052000591CD2720065
2022-04-01 21:26:17 EPC: 00721900000000000000054C, TID: E28011052000591CD2720065
2022-04-01 21:26:18 EPC: 00721900000000000000054C, TID: E28011052000591CD2720065
2022-04-01 21:26:27 EPC: 00721900000000000000054C, TID: E28011052000591CD2720065
2022-04-01 21:29:43 EPC: 000000000000000000159574, TID: E2801170200000C7A70E0A07
2022-04-01 21:29:44 EPC: 000000000000000000159574, TID: E2801170200000C7A70E0A07
2022-04-01 21:29:45 EPC: 000000000000000000159574, TID: E2801170200000C7A70E0A07
2022-04-01 21:29:48 EPC: 000000000000000000159574, TID: E2801170200000C7A70E0A07
2022-04-01 21:29:49 EPC: 000000000000000000159574, TID: E2801170200000C7A70E0A07
2022-04-01 21:53:07 EPC: 0072190000000000000003D6, TID: E280110520005146D3BE0065
2022-04-01 21:53:11 EPC: 0072190000000000000003D6, TID: E280110520005146D3BE0065
2022-04-01 21:53:12 EPC: 0072190000000000000003D6, TID: E280110520005146D3BE0065
2022-04-01 21:53:20 EPC: 007219000000000000000A27, TID: E280110520005749D0F50065
2022-04-01 21:53:21 EPC: 007219000000000000000A27, TID: E280110520005749D0F50065
2022-04-01 21:53:22 EPC: 007219000000000000000A27, TID: E280110520005749D0F50065
2022-04-01 21:53:31 EPC: 007219000000000000000AD2, TID: E280110520005643D30F0065
2022-04-01 21:53:32 EPC: 007219000000000000000AD2, TID: E280110520005643D30F0065
2022-04-01 21:53:37 EPC: 007219000000000000000AD2, TID: E280110520005643D30F0065
2022-04-01 21:53:51 EPC: 007219000000000000000AD2, TID: E280110520005643D30F0065
2022-04-01 21:53:52 EPC: 007219000000000000000AD2, TID: E280110520005643D30F0065
2022-04-01 21:54:06 EPC: 007219000000000000000511, TID: E28011052000539AD1190065
2022-04-01 21:54:08 EPC: 007219000000000000000511, TID: E28011052000539AD1190065
2022-04-01 21:54:34 EPC: 0072190000000000000004B0, TID: E2801105200050D9D1A40065
2022-04-01 21:54:35 EPC: 0072190000000000000004B0, TID: E2801105200050D9D1A40065
2022-04-01 21:54:39 EPC: 0072190000000000000004B0, TID: E2801105200050D9D1A40065
2022-04-01 21:54:40 EPC: 0072190000000000000004B0, TID: E2801105200050D9D1A40065
2022-04-01 21:54:55 EPC: 0072190000000000000003F9, TID: E280110520005986D48B0065
2022-04-01 21:55:08 EPC: 0072190000000000000003F9, TID: E280110520005986D48B0065
2022-04-01 21:55:09 EPC: 0072190000000000000003F9, TID: E280110520005986D48B0065
