2022-04-02 21:15:44 EPC: 044145000000000000002354, TID: E280110C2000794DEAD00A15
2022-04-02 21:15:44 EPC: 0072190000000000000003FF, TID: E280110520005586D4260065
2022-04-02 21:15:56 EPC: 007219000000000000000A4E, TID: E280110520005109D2C10065
2022-04-02 21:15:57 EPC: 007219000000000000000A4E, TID: E280110520005109D2C10065
2022-04-02 21:15:58 EPC: 007219000000000000000A4E, TID: E280110520005109D2C10065
2022-04-02 21:15:59 EPC: 007219000000000000000A4E, TID: E280110520005109D2C10065
2022-04-02 21:16:01 EPC: 007219000000000000000A4E, TID: E280110520005109D2C10065
2022-04-02 21:16:02 EPC: 007219000000000000000A4E, TID: E280110520005109D2C10065
2022-04-02 21:16:03 EPC: 007219000000000000000A4E, TID: E280110520005109D2C10065
2022-04-02 21:16:04 EPC: 007219000000000000000A4E, TID: E280110520005109D2C10065
2022-04-02 21:16:05 EPC: 007219000000000000000A4E, TID: E280110520005109D2C10065
2022-04-02 21:16:06 EPC: 007219000000000000000A4E, TID: E280110520005109D2C10065
2022-04-02 21:16:07 EPC: 007219000000000000000A4E, TID: E280110520005109D2C10065
2022-04-02 21:16:15 EPC: 007219000000000000000A4E, TID: E280110520005109D2C10065
2022-04-02 21:16:16 EPC: 007219000000000000000A4E, TID: E280110520005109D2C10065
2022-04-02 21:16:17 EPC: 007219000000000000000A4E, TID: E280110520005109D2C10065
2022-04-02 21:16:18 EPC: 007219000000000000000A4E, TID: E280110520005109D2C10065
2022-04-02 21:16:29 EPC: 044145000000000000002354, TID: E280110C2000794DEAD00A15
2022-04-02 21:16:30 EPC: 044145000000000000002354, TID: E280110C2000794DEAD00A15
2022-04-02 21:16:31 EPC: 044145000000000000002354, TID: E280110C2000794DEAD00A15
2022-04-02 21:16:42 EPC: 0441450000000000000022C9, TID: E280110C2000745DBB870A11
2022-04-02 21:16:43 EPC: 0441450000000000000022C9, TID: E280110C2000745DBB870A11
2022-04-02 21:16:44 EPC: 0441450000000000000022C9, TID: E280110C2000745DBB870A11
2022-04-02 21:17:01 EPC: 0441450000000000000022C9, TID: E280110C2000745DBB870A11
2022-04-02 21:17:02 EPC: 0441450000000000000022C9, TID: E280110C2000745DBB870A11
