2022-04-05 08:27:29 EPC: 00721900000000000000045D, TID: E280110520005799D25A0065, ANT: 01
2022-04-05 08:27:34 EPC: 00721900000000000000039A, TID: E280110520005645D38C0065, ANT: 01
2022-04-05 08:45:44 EPC: 00721900000000000000043B, TID: E280110520005A5CD2270065, ANT: 01
2022-04-05 08:45:46 EPC: 00721900000000000000043B, TID: E280110520005A5CD2270065, ANT: 01
2022-04-05 08:45:47 EPC: 00721900000000000000043B, TID: E280110520005A5CD2270065, ANT: 01
2022-04-05 08:46:11 EPC: 00721900000000000000043B, TID: E280110520005A5CD2270065, ANT: 01
2022-04-05 08:46:12 EPC: 00721900000000000000043B, TID: E280110520005A5CD2270065, ANT: 01
2022-04-05 08:46:18 EPC: 0072190000000000000004F1, TID: E280110520005259D2410065, ANT: 01
2022-04-05 08:46:30 EPC: 0072190000000000000003E2, TID: E280110520005446D38C0065, ANT: 01
2022-04-05 08:46:31 EPC: 0072190000000000000003E2, TID: E280110520005446D38C0065, ANT: 01
2022-04-05 08:46:47 EPC: 007219000000000000000B61, TID: E280110520005103D3BE0065, ANT: 01
2022-04-05 08:46:54 EPC: 0072190000000000000003FF, TID: E280110520005586D4260065, ANT: 01
2022-04-05 08:46:55 EPC: 0072190000000000000003FF, TID: E280110520005586D4260065, ANT: 01
2022-04-05 08:47:00 EPC: 00721900000000000000037D, TID: E280110520005746D3D90065, ANT: 01
2022-04-05 08:47:17 EPC: 0441450000000000000022C9, TID: E280110C2000745DBB870A11, ANT: 01
2022-04-05 08:47:18 EPC: 0441450000000000000022C9, TID: E280110C2000745DBB870A11, ANT: 01
2022-04-05 08:47:24 EPC: 044145000000000000002354, TID: E280110C2000794DEAD00A15, ANT: 01
2022-04-05 08:47:31 EPC: 007219000000000000000A4E, TID: E280110520005109D2C10065, ANT: 01
2022-04-05 08:47:39 EPC: 04414500000000000000232F, TID: E280110C2000748DEAC90A15, ANT: 01
2022-04-05 08:47:40 EPC: 04414500000000000000232F, TID: E280110C2000748DEAC90A15, ANT: 01
2022-04-05 08:47:47 EPC: 00721900000000000000049C, TID: E280110520005A99D1420065, ANT: 01
2022-04-05 08:47:55 EPC: 00721900000000000000048D, TID: E28011052000551AD12D0065, ANT: 01
2022-04-05 08:47:56 EPC: 00721900000000000000048D, TID: E28011052000551AD12D0065, ANT: 01
2022-04-05 08:47:57 EPC: 00721900000000000000048D, TID: E28011052000551AD12D0065, ANT: 01
2022-04-05 08:53:12 EPC: 04414500000000000000164A, TID: E280110C2000730AEAB40A15, ANT: 01
2022-04-05 08:54:55 EPC: 0441450000000000000024DF, TID: E280110C2000711BBB780A11, ANT: 01
2022-04-05 08:54:56 EPC: 0441450000000000000024DF, TID: E280110C2000711BBB780A11, ANT: 01
2022-04-05 08:55:04 EPC: 044145000000000000002571, TID: E280110C20007A9CBB720A11, ANT: 01
2022-04-05 08:55:12 EPC: 044145000000000000002542, TID: E280110C2000751BBB600A11, ANT: 01
2022-04-05 08:55:13 EPC: 044145000000000000002542, TID: E280110C2000751BBB600A11, ANT: 01
2022-04-05 08:55:14 EPC: 044145000000000000002542, TID: E280110C2000751BBB600A11, ANT: 01
2022-04-05 08:55:15 EPC: 044145000000000000002542, TID: E280110C2000751BBB600A11, ANT: 01
2022-04-05 08:55:16 EPC: 044145000000000000002542, TID: E280110C2000751BBB600A11, ANT: 01
2022-04-05 08:55:18 EPC: 044145000000000000002542, TID: E280110C2000751BBB600A11, ANT: 01
2022-04-05 08:55:19 EPC: 044145000000000000002542, TID: E280110C2000751BBB600A11, ANT: 01
2022-04-05 08:55:20 EPC: 044145000000000000002542, TID: E280110C2000751BBB600A11, ANT: 01
2022-04-05 08:55:21 EPC: 044145000000000000002542, TID: E280110C2000751BBB600A11, ANT: 01
2022-04-05 08:55:22 EPC: 044145000000000000002542, TID: E280110C2000751BBB600A11, ANT: 01
2022-04-05 08:55:28 EPC: 0441450000000000000020E2, TID: E280110C20007B91EAD10A15, ANT: 01
2022-04-05 08:55:29 EPC: 0441450000000000000020E2, TID: E280110C20007B91EAD10A15, ANT: 01
2022-04-05 08:55:37 EPC: 0441450000000000000022B0, TID: E280110C20007A5DBB8B0A11, ANT: 01
2022-04-05 08:55:43 EPC: 044145000000000000002481, TID: E280110C2000779ABB540A11, ANT: 01
2022-04-05 08:55:50 EPC: 044145000000000000002481, TID: E280110C2000779ABB540A11, ANT: 01
2022-04-05 08:55:58 EPC: 0441450000000000000022CB, TID: E280110C2000739CBB520A11, ANT: 01
2022-04-05 08:56:10 EPC: 0441450000000000000022CB, TID: E280110C2000739CBB520A11, ANT: 01
2022-04-05 08:56:17 EPC: 044145000000000000002661, TID: E280110C200072DCBB850A11, ANT: 01
2022-04-05 08:56:24 EPC: 04414500000000000000233D, TID: E280110C2000770EEAC90A15, ANT: 01
2022-04-05 08:56:25 EPC: 04414500000000000000233D, TID: E280110C2000770EEAC90A15, ANT: 01
2022-04-05 08:56:26 EPC: 04414500000000000000233D, TID: E280110C2000770EEAC90A15, ANT: 01
