2022-03-31 21:38:35 EPC: 007219000000000000000445, TID: E28011052000531AD1590065, ANT: 01
2022-03-31 21:39:16 EPC: 0072190000000000000003B9, TID: E28011052000509CD2410065, ANT: 01
2022-03-31 21:39:17 EPC: 0072190000000000000003B9, TID: E28011052000509CD2410065, ANT: 01
2022-03-31 21:39:24 EPC: 00721900000000000000040D, TID: E28011052000555CD25A0065, ANT: 01
2022-03-31 21:39:25 EPC: 00721900000000000000040D, TID: E28011052000555CD25A0065, ANT: 01
2022-03-31 21:39:36 EPC: 0072190000000000000004ED, TID: E28011052000569CD1720065, ANT: 01
2022-03-31 21:39:37 EPC: 0072190000000000000004ED, TID: E28011052000569CD1720065, ANT: 01
2022-03-31 21:39:39 EPC: 0072190000000000000004ED, TID: E28011052000569CD1720065, ANT: 01
2022-03-31 21:39:39 EPC: 0072190000000000000004ED, TID: E28011052000569CD1720065, ANT: 01
2022-03-31 21:39:49 EPC: 0072190000000000000004ED, TID: E28011052000569CD1720065, ANT: 01
2022-03-31 21:39:50 EPC: 0072190000000000000004ED, TID: E28011052000569CD1720065, ANT: 01
2022-03-31 21:39:52 EPC: 0072190000000000000004ED, TID: E28011052000569CD1720065, ANT: 01
2022-03-31 21:40:02 EPC: 00721900000000000000040D, TID: E28011052000555CD25A0065, ANT: 01
2022-03-31 21:40:11 EPC: 0072190000000000000003B9, TID: E28011052000509CD2410065, ANT: 01
2022-03-31 21:40:13 EPC: 0072190000000000000003B9, TID: E28011052000509CD2410065, ANT: 01
2022-03-31 21:45:02 EPC: 0441450000000000000024DF, TID: E280110C2000711BBB780A11, ANT: 01
2022-03-31 21:45:03 EPC: 0441450000000000000024DF, TID: E280110C2000711BBB780A11, ANT: 01
2022-03-31 21:45:12 EPC: 044145000000000000002571, TID: E280110C20007A9CBB720A11, ANT: 01
2022-03-31 21:45:13 EPC: 044145000000000000002571, TID: E280110C20007A9CBB720A11, ANT: 01
2022-03-31 21:45:24 EPC: 044145000000000000002542, TID: E280110C2000751BBB600A11, ANT: 01
2022-03-31 21:45:25 EPC: 044145000000000000002542, TID: E280110C2000751BBB600A11, ANT: 01
2022-03-31 21:45:27 EPC: 044145000000000000002542, TID: E280110C2000751BBB600A11, ANT: 01
